date, LordAro, _46, Taneb, bjs, icydoge, liamfraser, Speed`, sdhand, ddm, nitia, is_term_time
2014-10-26, 147, 11, 23, 0, 44, 0, 8, 0, 0, 8, 1
2014-10-27, 90, 60, 65, 0, 75, 19, 136, 0, 0, 14, 1
2014-10-28, 133, 26, 24, 0, 12, 173, 122, 0, 0, 24, 1
2014-10-29, 68, 8, 49, 0, 7, 84, 70, 0, 0, 1, 1
2014-10-30, 73, 34, 17, 0, 0, 9, 37, 0, 0, 1, 1
2014-10-31, 42, 32, 15, 0, 39, 53, 79, 0, 0, 1, 1
2014-11-01, 56, 2, 0, 0, 8, 13, 84, 0, 0, 0, 1
2014-11-13, 49, 9, 46, 0, 29, 86, 64, 0, 0, 0, 1
2014-11-14, 32, 83, 18, 0, 43, 108, 85, 0, 0, 4, 1
2014-11-15, 29, 24, 34, 0, 24, 70, 77, 0, 0, 1, 1
2014-11-16, 42, 38, 25, 0, 74, 84, 14, 0, 0, 3, 1
2014-11-17, 40, 37, 51, 0, 35, 129, 182, 0, 0, 0, 1
2014-11-18, 21, 10, 13, 0, 3, 6, 8, 0, 0, 0, 1
2014-11-22, 20, 9, 7, 0, 16, 32, 64, 0, 0, 0, 1
2014-11-23, 18, 2, 54, 0, 72, 7, 68, 0, 0, 0, 1
2014-11-24, 19, 40, 49, 0, 35, 44, 22, 0, 0, 0, 1
2014-11-25, 64, 24, 71, 0, 12, 58, 34, 0, 0, 0, 1
2014-11-26, 58, 120, 63, 0, 23, 14, 41, 0, 0, 22, 1
2014-11-27, 135, 91, 38, 0, 55, 154, 214, 0, 0, 2, 1
2014-11-28, 82, 10, 33, 0, 17, 46, 36, 0, 0, 2, 1
2014-11-29, 80, 26, 17, 0, 25, 17, 31, 0, 0, 4, 1
2014-11-30, 104, 22, 85, 0, 79, 19, 30, 0, 0, 3, 1
2014-12-01, 54, 63, 66, 0, 82, 43, 83, 0, 0, 3, 1
2014-12-02, 215, 24, 33, 0, 72, 227, 241, 0, 0, 3, 1
2014-12-03, 107, 64, 36, 0, 83, 86, 88, 0, 0, 16, 1
2014-12-04, 240, 17, 128, 0, 48, 102, 173, 0, 0, 12, 1
2014-12-05, 32, 24, 20, 0, 105, 20, 94, 0, 0, 1, 1
2015-03-04, 168, 66, 66, 0, 27, 277, 404, 0, 0, 6, 1
2015-03-05, 176, 144, 33, 0, 42, 79, 94, 0, 0, 4, 1
2015-03-06, 108, 76, 26, 0, 119, 147, 3, 0, 0, 6, 1
2015-03-07, 85, 137, 2, 0, 77, 164, 61, 0, 0, 3, 1
2015-03-08, 75, 34, 12, 0, 8, 150, 61, 0, 0, 2, 1
2015-03-09, 161, 133, 89, 0, 148, 378, 172, 0, 0, 12, 1
2015-03-10, 152, 61, 30, 0, 81, 78, 122, 0, 0, 2, 1
2015-03-11, 131, 79, 34, 0, 48, 115, 186, 0, 0, 6, 1
2015-03-12, 177, 60, 78, 0, 74, 207, 146, 0, 0, 3, 1
2015-03-13, 205, 94, 47, 0, 58, 110, 207, 0, 0, 2, 1
2015-03-14, 62, 29, 46, 0, 29, 18, 25, 0, 0, 0, 0
2015-03-15, 118, 63, 32, 0, 84, 28, 6, 0, 0, 6, 0
2015-03-16, 240, 102, 133, 0, 47, 10, 25, 0, 0, 0, 0
2015-03-17, 209, 85, 88, 0, 30, 38, 12, 0, 0, 18, 0
2015-03-18, 107, 83, 30, 0, 18, 35, 20, 0, 0, 25, 0
2015-03-19, 107, 117, 49, 0, 38, 20, 18, 0, 0, 19, 0
2015-03-20, 115, 39, 74, 0, 4, 1, 46, 0, 0, 25, 0
2015-03-21, 36, 6, 5, 0, 40, 0, 10, 0, 0, 21, 0
2015-03-22, 62, 41, 0, 0, 57, 2, 8, 0, 0, 7, 0
2015-03-23, 113, 34, 61, 0, 31, 35, 11, 0, 0, 4, 0
2015-03-24, 130, 97, 132, 0, 13, 73, 12, 0, 0, 8, 0
2015-03-25, 132, 39, 53, 0, 44, 74, 76, 0, 0, 1, 0
2015-03-26, 89, 60, 78, 0, 58, 48, 51, 0, 0, 20, 0
2015-03-27, 78, 70, 7, 0, 64, 16, 5, 0, 0, 0, 0
2015-03-28, 63, 46, 14, 0, 39, 21, 0, 0, 0, 12, 0
2015-03-29, 14, 51, 16, 0, 20, 23, 29, 0, 0, 21, 0
